"","Groups","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ZOTU-V9_6299","Obazoa","Eukaryota","Opisthokonta-Metazoa","Gastrotricha","Gastrotricha_X","Gastrotricha_XX",NA,NA
"ZOTU-V9_6297","TSAR","Eukaryota","Stramenopiles-Gyrista","Eustigmatophyceae","Eustigmatophyceae_X","Eustigmatophyceae_XX","Eustigmatophyceae_XXX","Eustigmatophyceae_XXX_sp."
"ZOTU-V9_6308","TSAR","Eukaryota","Alveolata-Ciliophora","Litostomatea","Haptoria_6","Lacrymariidae","Lacrymariidae_X","Lacrymariidae_X_sp."
"ZOTU-V9_6313","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota","Rhizophydiales",NA,NA,NA
"ZOTU-V9_6311","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota","Rhizophydiales","Rhizophydiales_X","Rhizophydiales_XX","Rhizophydiales_XX_sp."
"ZOTU-V9_6309","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota","Spizellomycetales","Spizellomycetales_X","Spizellomycetales_XX","Spizellomycetales_XX_sp."
"ZOTU-V9_6316","Obazoa","Eukaryota","Opisthokonta-Fungi","Ascomycota","Pezizomycotina","Leotiomycetes","Tetracladium","Tetracladium_setigerum"
"ZOTU-V9_6321","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_6339","Excavata","Eukaryota","Discoba-Euglenozoa","Euglenida","Aphagea","Astasiidae","Astasia","Astasia_curvata"
"ZOTU-V9_6331","TSAR","Eukaryota","Stramenopiles-Gyrista","Chrysophyceae","Hydrurales","Hydrurales_X","Hydrurales_XX","Hydrurales_XX_sp."
"ZOTU-V9_6341","Obazoa","Eukaryota","Opisthokonta-Metazoa","Arthropoda","Crustacea","Branchiopoda",NA,NA
"ZOTU-V9_6353","Amoebozoa","Eukaryota","Discosea-Discosea_X","Centramoebia","Acanthopodida","Acanthamoebidae","Protacanthamoeba",NA
"ZOTU-V9_6370","TSAR","Eukaryota","Rhizaria-Cercozoa","Sainouroidea","Sainouroidea_X","Sainouroidea_XX","Acantholus","Acantholus_ambigus"
"ZOTU-V9_6366","TSAR","Eukaryota","Alveolata-Ciliophora","Armophorea","Armophorea_X","Apometopidae","Urostomides","Urostomides_striatus"
"ZOTU-V9_6375","Amoebozoa","Eukaryota","Tubulinea-Tubulinea_X","Elardia","Euamoebida","Nolandellidae","Nolandellidae_X","Nolandellidae_X_sp."
"ZOTU-V9_6376","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X",NA,NA,NA,NA,NA
"ZOTU-V9_6377","TSAR","Eukaryota","Stramenopiles-Gyrista","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula_cryptotenella"
"ZOTU-V9_6381","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chloromonas",NA
"ZOTU-V9_6379","TSAR","Eukaryota","Stramenopiles-Gyrista","Chrysophyceae",NA,NA,NA,NA
"ZOTU-V9_6380","TSAR","Eukaryota","Stramenopiles-Gyrista","Chrysophyceae","Synurales","Synuraceae","Mallomonas","Mallomonas_annulata"
"ZOTU-V9_6397","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota","Chytridiomycota_X","Chytridiomycota_XX","Chytridiomycota_XXX","Chytridiomycota_XXX_sp."
"ZOTU-V9_6399","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota",NA,NA,NA,NA
"ZOTU-V9_6389","Obazoa","Eukaryota","Opisthokonta-Fungi","Ascomycota",NA,NA,NA,NA
"ZOTU-V9_6400","Obazoa","Eukaryota","Opisthokonta-Fungi","Fungi_X","Fungi_XX","Fungi_XXX","Fungi_XXXX","Fungi_XXXX_sp."
"ZOTU-V9_6418","Excavata","Eukaryota","Discoba-Euglenozoa","Kinetoplastea","Kinetoplastea_X","Kinetoplastea_XX","Kinetoplastea_XXX","Kinetoplastea_XXX_sp."
"ZOTU-V9_6409","Obazoa","Eukaryota","Opisthokonta-Fungi","Ascomycota","Saccharomycotina","Stephanoascales","Blastobotrys","Blastobotrys_terrestris"
"ZOTU-V9_6434","Obazoa","Eukaryota","Opisthokonta-Fungi","Opisthosporidia","Microsporida","Microsporida_X","Microsporidium","Microsporidium_sp."
"ZOTU-V9_6429","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_6432","Obazoa","Eukaryota","Opisthokonta-Choanoflagellata","Choanoflagellatea","Choanoflagellatea_X","Choanoflagellatea_XX_Group_L","Choanoflagellatea_XXX_Group_L_X","Choanoflagellatea_XXX_Group_L_X_sp."
"ZOTU-V9_6441","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_6454","Obazoa","Eukaryota","Opisthokonta-Metazoa","Nematoda","Enoplea","Enoplea_X","Tobrilus","Tobrilus_gracilis"
"ZOTU-V9_6450","TSAR","Eukaryota","Rhizaria-Cercozoa","Endomyxa","Vampyrellida","Leptophryidae",NA,NA
"ZOTU-V9_6455","TSAR","Eukaryota","Stramenopiles-Gyrista","Peronosporomycetes","Peronosporomycetes_X","Peronosporomycetes_XX","Peronosporomycetes_XXX","Peronosporomycetes_XXX_sp."
"ZOTU-V9_6456","Obazoa","Eukaryota","Opisthokonta-Metazoa","Platyhelminthes","Turbellaria","Rhabdocoela","Gyratrix","Gyratrix_hermaphroditus"
"ZOTU-V9_6464","Obazoa","Eukaryota","Opisthokonta-Metazoa",NA,NA,NA,NA,NA
"ZOTU-V9_6472","Obazoa","Eukaryota","Opisthokonta-Metazoa",NA,NA,NA,NA,NA
"ZOTU-V9_6477","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_6506","Excavata","Eukaryota","Discoba-Euglenozoa","Euglenida","Petalomonadida","Eupetalomonads_X","Eupetalomonads_XX","Eupetalomonads_XX_sp."
"ZOTU-V9_6490","Obazoa","Eukaryota","Opisthokonta-Fungi","Ascomycota","Saccharomycotina","Saccharomycetales","Candida",NA
"ZOTU-V9_6517","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlamydomonadales_XX","Chlamydomonadales_XX_sp."
"ZOTU-V9_6523","TSAR","Eukaryota","Alveolata-Ciliophora","CONTH_4","CONTH_4_X","CONTH_4_XX","CONTH_4_XXX","CONTH_4_XXX_sp."
"ZOTU-V9_6522","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_6529","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlamydomonas","Chlamydomonas_pseudopulsatilla_CCCryo_050-99"
"ZOTU-V9_6535","TSAR","Eukaryota","Rhizaria-Cercozoa","Sainouroidea","Sainouroidea_X","Guttulinopsidae","Guttulinopsis",NA
"ZOTU-V9_6543","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chloromonas","Chloromonas_sp."
"ZOTU-V9_6542","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_6555","TSAR","Eukaryota","Stramenopiles-Gyrista","Peronosporomycetes","Peronosporomycetes_X",NA,NA,NA
"ZOTU-V9_6562","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota",NA,NA,NA,NA
"ZOTU-V9_6567","Obazoa","Eukaryota","Opisthokonta-Fungi","Ascomycota",NA,NA,NA,NA
"ZOTU-V9_6569","Obazoa","Eukaryota","Opisthokonta-Fungi","Ascomycota","Pezizomycotina","Dothideomycetes","Pleiochaeta","Pleiochaeta_ghindensis"
"ZOTU-V9_6581","TSAR","Eukaryota","Alveolata-Apicomplexa","Gregarinomorphea","Neogregarinorida","Actinocephalidae",NA,NA
"ZOTU-V9_6575","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota","Rhizophydiales","Rhizophydiales_X","Rhizophydiales_XX","Rhizophydiales_XX_sp."
"ZOTU-V9_6588","Obazoa","Eukaryota","Opisthokonta-Fungi","Opisthosporidia","Microsporida","Microsporida_X",NA,NA
"ZOTU-V9_6577","TSAR","Eukaryota","Stramenopiles-Bigyra","Opalozoa","Opalozoa_X","MAST-12","MAST-12C","MAST-12C_sp."
"ZOTU-V9_6585","TSAR","Eukaryota","Rhizaria-Cercozoa",NA,NA,NA,NA,NA
"ZOTU-V9_6586","Obazoa","Eukaryota","Opisthokonta-Fungi","Basidiomycota","Agaricomycotina","Tremellomycetes","Cryptococcus","Cryptococcus_huempii"
"ZOTU-V9_6593","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota",NA,NA,NA,NA
"ZOTU-V9_6589","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota",NA,NA,NA,NA
"ZOTU-V9_6590","Obazoa","Eukaryota","Opisthokonta-Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Lycoperdon","Lycoperdon_pyriforme"
"ZOTU-V9_6598","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota",NA,NA,NA,NA
"ZOTU-V9_6610","Excavata","Eukaryota","Discoba-Euglenozoa","Kinetoplastea","Prokinetoplastida","Ichthyobodonidae","Ichthyobodonidae_PRO1","Ichthyobodonidae_PRO1_sp."
"ZOTU-V9_6601","TSAR","Eukaryota","Rhizaria-Cercozoa","Novel-clade-10-12","Novel-clade-10","Novel-clade-10_X","Novel-clade-10_XX","Novel-clade-10_XX_sp."
"ZOTU-V9_6604","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota","Chytridiales","Chytridiales_X","Chytridiales_XX","Chytridiales_XX_sp."
"ZOTU-V9_6618","TSAR","Eukaryota","Rhizaria-Cercozoa","Endomyxa-Phytomyxea","Plasmodiophorida","Plasmodiophorida_X","Spongospora","Spongospora_nasturtii"
"ZOTU-V9_6613","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota","Chytridiales","Chytridiales_X","Chytridiales_XX","Chytridiales_XX_sp."
"ZOTU-V9_6624","Obazoa","Eukaryota","Opisthokonta-Metazoa","Rotifera","Rotifera_X","Rotifera_XX","Cephalodella","Cephalodella_gibba"
"ZOTU-V9_6637","Excavata","Eukaryota","Discoba-Euglenozoa","Euglenida",NA,NA,NA,NA
"ZOTU-V9_6630","Obazoa","Eukaryota","Opisthokonta-Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes",NA,NA
"ZOTU-V9_6633","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Trebouxiophyceae","Chlorellales","Chlorellales_X","Parietochloris",NA
"ZOTU-V9_6645","TSAR","Eukaryota","Stramenopiles-Bigyra","Bicoecea",NA,NA,NA,NA
"ZOTU-V9_6647","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_6659","TSAR","Eukaryota","Stramenopiles-Gyrista","Chrysophyceae","Chrysosaccales","Chrysosaccaceae",NA,NA
"ZOTU-V9_6662","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae","Sphaeropleales","Sphaeropleales_X",NA,NA
"ZOTU-V9_6674","TSAR","Eukaryota","Alveolata-Apicomplexa","Gregarinomorphea","Neogregarinorida","Actinocephalidae",NA,NA
"ZOTU-V9_6672","TSAR","Eukaryota","Rhizaria-Cercozoa","Endomyxa-Phytomyxea","Plasmodiophorida","Plasmodiophorida_X","Spongospora","Spongospora_nasturtii"
"ZOTU-V9_6663","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_6671","TSAR","Eukaryota","Stramenopiles-Gyrista","Eustigmatophyceae","Eustigmatophyceae_X","Eustigmatophyceae_XX","Trachydiscus",NA
"ZOTU-V9_6668","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X",NA,NA
"ZOTU-V9_6676","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae","Sphaeropleales","Sphaeropleales_X","Parapediastrum","Parapediastrum_biradiatum"
"ZOTU-V9_6675","Obazoa","Eukaryota","Opisthokonta-Fungi","Ascomycota","Pezizomycotina","Eurotiomycetes","Penicillium","Penicillium_tardum"
"ZOTU-V9_6688","TSAR","Eukaryota","Stramenopiles-Gyrista","Bacillariophyceae","Cymbellales","Gomphonemataceae","Encyonema","Encyonema_minutum"
"ZOTU-V9_6693","TSAR","Eukaryota","Alveolata-Ciliophora",NA,NA,NA,NA,NA
"ZOTU-V9_6701","Obazoa","Eukaryota","Opisthokonta-Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Rozellomycota_XXX","Rozellomycota_XXX_sp."
"ZOTU-V9_6731","Excavata","Eukaryota","Discoba-Euglenozoa","Euglenida","Petalomonadida",NA,NA,NA
"ZOTU-V9_6724","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Trebouxiophyceae",NA,NA,NA,NA
"ZOTU-V9_6735","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota","Chytridiomycota_X","Chytridiomycota_XX","Chytridiomycota_XXX","Chytridiomycota_XXX_sp."
"ZOTU-V9_6743","TSAR","Eukaryota","Stramenopiles-Gyrista","Chrysophyceae",NA,NA,NA,NA
"ZOTU-V9_6742","Archaeplastida","Eukaryota","Streptophyta-Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX",NA,NA
"ZOTU-V9_6753","TSAR","Eukaryota","Alveolata-Ciliophora","Oligohymenophorea","Hymenostomatia",NA,NA,NA
"ZOTU-V9_6754","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chloromonas",NA
"ZOTU-V9_6755","Obazoa","Eukaryota","Opisthokonta-Metazoa","Gastrotricha","Gastrotricha_X","Gastrotricha_XX","Chaetonotus",NA
"ZOTU-V9_6761","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_6764","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_6770","TSAR","Eukaryota","Alveolata-Ciliophora","Oligohymenophorea","Oligohymenophorea_X","Oligohymenophorea_XX",NA,NA
"ZOTU-V9_6776","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota",NA,NA,NA,NA
"ZOTU-V9_6777","TSAR","Eukaryota","Alveolata-Ciliophora","Armophorea","Armophorea_X","Caenomorphidae","Caenomorpha","Caenomorpha_medusula"
"ZOTU-V9_6778","TSAR","Eukaryota","Stramenopiles-Gyrista","Chrysophyceae",NA,NA,NA,NA
"ZOTU-V9_6784","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_6799","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota","Rhizophydiales","Rhizophydiales_X","Rhizophydiales_XX","Rhizophydiales_XX_sp."
"ZOTU-V9_6797","Obazoa","Eukaryota","Opisthokonta-Fungi","Basidiomycota","Agaricomycotina","Tremellomycetes","Cryptococcus","Cryptococcus_bhutanensis"
"ZOTU-V9_6801","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota",NA,NA,NA,NA
"ZOTU-V9_6806","TSAR","Eukaryota","Stramenopiles-Gyrista","Chrysophyceae",NA,NA,NA,NA
"ZOTU-V9_6809","TSAR","Eukaryota","Rhizaria-Cercozoa","Filosa-Sarcomonadea","Glissomonadida","Allapsidae","Group-Te","Group_Te_sp."
"ZOTU-V9_6812","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae","Sphaeropleales",NA,NA,NA
"ZOTU-V9_6818","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Trebouxiophyceae","Microthamniales","Microthamniales_X","Myrmecia","Myrmecia_sp."
"ZOTU-V9_6819","TSAR","Eukaryota","Alveolata-Dinoflagellata",NA,NA,NA,NA,NA
"ZOTU-V9_6829","Obazoa","Eukaryota","Opisthokonta-Fungi","Fungi_X","Fungi_XX","Fungi_XXX","Fungi_XXXX","Fungi_XXXX_sp."
"ZOTU-V9_6826","Obazoa","Eukaryota","Opisthokonta-Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Rozellomycota_XXX","Rozellomycota_XXX_sp."
"ZOTU-V9_6835","Obazoa","Eukaryota","Opisthokonta-Metazoa",NA,NA,NA,NA,NA
"ZOTU-V9_6833","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota","Chytridiomycota_X","Chytridiomycota_XX","Chytridiomycota_XXX","Chytridiomycota_XXX_sp."
"ZOTU-V9_6834","TSAR","Eukaryota","Stramenopiles-Gyrista","Eustigmatophyceae","Eustigmatophyceae_X","Eustigmatophyceae_XX","Pseudotetraedriella","Pseudotetraedriella_kamillae"
"ZOTU-V9_6836","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae","Sphaeropleales","Sphaeropleales_X",NA,NA
"ZOTU-V9_6850","Obazoa","Eukaryota","Opisthokonta-Metazoa","Nematoda","Chromadorea","Chromadorea_X","Chromadorea_XX","Chromadorea_XX_sp."
"ZOTU-V9_6847","TSAR","Eukaryota","Stramenopiles-Gyrista","Bacillariophyceae","Naviculales",NA,NA,NA
"ZOTU-V9_6866","TSAR","Eukaryota","Alveolata-Apicomplexa","Gregarinomorphea","Neogregarinorida","Actinocephalidae","Monocystis","Monocystis_sp."
"ZOTU-V9_6859","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_6867","TSAR","Eukaryota","Stramenopiles-Gyrista","Chrysophyceae",NA,NA,NA,NA
"ZOTU-V9_6871","Obazoa","Eukaryota","Opisthokonta-Metazoa",NA,NA,NA,NA,NA
"ZOTU-V9_6868","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae",NA,NA,NA,NA
"ZOTU-V9_6870","TSAR","Eukaryota","Rhizaria-Cercozoa","Novel-clade-10-12","Novel-clade-10","Novel-clade-10_X","Novel-clade-10_XX","Novel-clade-10_XX_sp."
"ZOTU-V9_6880","Excavata","Eukaryota","Discoba-Discoba_X","Heterolobosea",NA,NA,NA,NA
"ZOTU-V9_6873","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_6875","Obazoa","Eukaryota","Opisthokonta-Fungi","Ascomycota","Pezizomycotina",NA,NA,NA
"ZOTU-V9_6886","TSAR","Eukaryota","Rhizaria-Cercozoa","Filosa-Sarcomonadea","Glissomonadida",NA,NA,NA
"ZOTU-V9_6889","TSAR","Eukaryota","Stramenopiles-Bigyra","Sagenista","Labyrinthulomycetes","Amphifilaceae",NA,NA
"ZOTU-V9_6893","Excavata","Eukaryota","Discoba-Euglenozoa","Kinetoplastea","Kinetoplastea_X","Kinetoplastea_XX","Kinetoplastea_XX_MET3","Kinetoplastea_XX_MET3_sp."
"ZOTU-V9_6884","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_6903","Obazoa","Eukaryota","Opisthokonta-Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Agaricomycetes_X","Agaricomycetes_X_sp."
"ZOTU-V9_6901","TSAR","Eukaryota","Stramenopiles-Gyrista","Chrysophyceae","Ochromonadales","Ochromonadaceae","Dinobryon",NA
"ZOTU-V9_6904","Obazoa","Eukaryota","Opisthokonta-Fungi","Ascomycota","Pezizomycotina","Leotiomycetes",NA,NA
"ZOTU-V9_6912","Amoebozoa","Eukaryota","Evosea-Evosea_X","Variosea",NA,NA,NA,NA
"ZOTU-V9_6910","TSAR","Eukaryota","Stramenopiles-Gyrista","Chrysophyceae","Hydrurales","Hydrurales_X","Hydrurales_XX","Hydrurales_XX_sp."
"ZOTU-V9_6911","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota","Rhizophydiales","Rhizophydiales_X","Rhizophydiales_XX","Rhizophydiales_XX_sp."
"ZOTU-V9_6909","Obazoa","Eukaryota","Opisthokonta-Fungi","Ascomycota","Pezizomycotina","Leotiomycetes","Bulgaria","Bulgaria_inquinans"
"ZOTU-V9_6919","TSAR","Eukaryota","Rhizaria-Cercozoa","Endomyxa","Vampyrellida","Vampyrellidae","Vampyrella","Vampyrella_sp."
"ZOTU-V9_6933","Amoebozoa","Eukaryota","Evosea-Eumycetozoa",NA,NA,NA,NA,NA
"ZOTU-V9_6930","TSAR","Eukaryota","Stramenopiles-Gyrista","Dictyochophyceae","Dictyochophyceae_X","Pedinellales","Pedinellales_X","Pedinellales_X_sp."
"ZOTU-V9_6929","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota","Rhizophydiales","Rhizophydiales_X","Rhizophydiales_XX","Rhizophydiales_XX_sp."
"ZOTU-V9_6937","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota",NA,NA,NA,NA
"ZOTU-V9_6960","TSAR","Eukaryota","Rhizaria-Cercozoa","Filosa-Imbricatea","Paracercomonadida","Paracercomonadida_X","Phytocercomonas","Phytocercomonas_venanatans"
"ZOTU-V9_6971","TSAR","Eukaryota","Rhizaria-Cercozoa","Endomyxa","Vampyrellida","Leptophryidae","Leptophryidae_X","Leptophryidae_X_sp."
"ZOTU-V9_6978","Obazoa","Eukaryota","Opisthokonta-Metazoa","Arthropoda",NA,NA,NA,NA
"ZOTU-V9_6975","Obazoa","Eukaryota","Opisthokonta-Fungi","Ascomycota","Pezizomycotina","Dothideomycetes",NA,NA
"ZOTU-V9_6989","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_7005","Amoebozoa","Eukaryota","Evosea-Evosea_X","Archamoebea","Mastigamoebida","Mastigamoebidae","Mastigamoeba","Mastigamoeba_sp."
"ZOTU-V9_7004","Obazoa","Eukaryota","Opisthokonta-Fungi","Ascomycota","Saccharomycotina","Saccharomycetales","Meyerozyma","Meyerozyma_guilliermondii"
"ZOTU-V9_7012","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Trebouxiophyceae","Watanabea-Clade","Watanabea-Clade_X","Chloroidium","Chloroidium_saccharophilum"
"ZOTU-V9_7026","Obazoa","Eukaryota","Opisthokonta-Metazoa","Gastrotricha","Gastrotricha_X","Gastrotricha_XX",NA,NA
"ZOTU-V9_7025","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_7024","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_7032","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_7046","Excavata","Eukaryota","Discoba-Euglenozoa","Euglenida",NA,NA,NA,NA
"ZOTU-V9_7055","TSAR","Eukaryota","Alveolata-Apicomplexa","Gregarinomorphea","Neogregarinorida","Actinocephalidae",NA,NA
"ZOTU-V9_7037","TSAR","Eukaryota","Alveolata-Dinoflagellata","Dinophyceae",NA,NA,NA,NA
"ZOTU-V9_7047","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_7050","Amoebozoa","Eukaryota","Evosea-Evosea_X","Variosea","Variosea_X","Variosea_XX","Arboramoeba","Arboramoeba_reticulata"
"ZOTU-V9_7048","TSAR","Eukaryota","Stramenopiles-Gyrista","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_XX","Chrysophyceae_XXX","Chrysophyceae_XXX_sp."
"ZOTU-V9_7061","Amoebozoa","Eukaryota","Evosea-Evosea_X","Variosea","Variosea_X","Variosea_XX","Variosea_XXX","Variosea_XXX_sp."
"ZOTU-V9_7063","Obazoa","Eukaryota","Opisthokonta-Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Gautieria","Gautieria_otthii"
"ZOTU-V9_7069","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_7073","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Trebouxiophyceae","Chlorellales","Chlorellales_X","Chlorella","Chlorella_sorokiniana"
"ZOTU-V9_7090","Obazoa","Eukaryota","Opisthokonta-Metazoa","Arthropoda","Hexapoda","Insecta","Chironomus","Chironomus_tepperi"
"ZOTU-V9_7087","Obazoa","Eukaryota","Opisthokonta-Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes",NA,NA
"ZOTU-V9_7099","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota",NA,NA,NA,NA
"ZOTU-V9_7119","TSAR","Eukaryota","Rhizaria-Cercozoa","Endomyxa","Vampyrellida","Vampyrellidae","Vampyrella","Vampyrella_sp."
"ZOTU-V9_7118","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X",NA,NA
"ZOTU-V9_7131","Obazoa","Eukaryota","Opisthokonta-Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Rozellomycota_XXX","Rozellomycota_XXX_sp."
"ZOTU-V9_7140","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_7144","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_7135","Obazoa","Eukaryota","Opisthokonta-Fungi","Blastocladiomycota","Blastocladiomycotina","Blastocladiomycetes","Blastocladiella","Blastocladiella_sp."
"ZOTU-V9_7172","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae","Sphaeropleales","Sphaeropleales_X","Pseudopediastrum","Pseudopediastrum_boryanum"
"ZOTU-V9_7181","Obazoa","Eukaryota","Opisthokonta-Fungi","Basidiomycota","Agaricomycotina","Tremellomycetes","Cryptococcus","Cryptococcus_terreus"
"ZOTU-V9_7194","TSAR","Eukaryota","Rhizaria-Cercozoa","Endomyxa-Phytomyxea","Plasmodiophorida","Plasmodiophorida_X",NA,NA
"ZOTU-V9_7203","TSAR","Eukaryota","Stramenopiles-Gyrista","Chrysophyceae",NA,NA,NA,NA
"ZOTU-V9_7207","Obazoa","Eukaryota","Opisthokonta-Fungi","Ascomycota","Taphrinomycotina","Taphrinomycetes","Taphrina","Taphrina_sp."
"ZOTU-V9_7209","TSAR","Eukaryota","Stramenopiles-Gyrista","Peronosporomycetes","Peronosporomycetes_X",NA,NA,NA
"ZOTU-V9_7211","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V9_7230","Obazoa","Eukaryota","Opisthokonta-Metazoa","Nematoda","Chromadorea","Chromadorea_X","Chromadorea_XX","Chromadorea_XX_sp."
"ZOTU-V9_7226","TSAR","Eukaryota","Alveolata-Ciliophora","Spirotrichea","Hypotrichia","Hypotrichia_X","Hypotrichia_XX","Hypotrichia_XX_sp."
"ZOTU-V9_7233","TSAR","Eukaryota","Alveolata-Ciliophora",NA,NA,NA,NA,NA
"ZOTU-V9_7231","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota","Rhizophydiales","Rhizophydiales_X","Rhizophydiales_XX","Rhizophydiales_XX_sp."
"ZOTU-V9_7234","Archaeplastida","Eukaryota","Streptophyta-Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Parnassia",NA
