"","sample_id","MDS1","MDS2","d15N_anomaly_mean_1800_1850","mean_air_temp_degC_anomaly_combined","fish_present_binary_YN"
"92","CANY20_21",-0.583010402261975,0.372805610319029,-0.287820417363636,-0.740512820512821,"No"
"93","CANY20_21.5",-0.246984629082255,0.00184984829973222,-0.052983612272727,-0.740512820512821,"No"
"94","CANY20_3",-0.644019491839037,-0.370853570418541,-2.49688134936364,-0.386666666666667,"No"
"95","CANY20_3.5",-0.581925085061862,-0.288459225183371,-2.26976461227273,0.496666666666667,"No"
"96","CANY20_4",-0.658141841780779,-0.310971125565422,-2.08068401736364,-0.42,"No"
"97","CANY20_4.5",-0.639462920487077,-0.208978481209358,-1.66536961227273,-0.163137254901961,"No"
"98","CANY20_5",-0.791604924752934,0.15474786867953,-1.41965664736364,-0.900952380952381,"No"
"99","CANY20_5.5",-0.587995946977963,-0.0586359514406171,-0.939096612272727,-0.740512820512821,"No"
"100","CANY20_6",-0.513360985487698,-0.00672579960627018,-0.780573491363636,-0.740512820512821,"No"
"101","CANY20_6.5",-0.353454012612262,0.0666557685949594,-0.480555612272727,-0.740512820512821,"No"
"102","CANY20_7",-0.449580918748315,0.141224044174714,-0.396555655363636,-0.740512820512821,"No"
"103","CANY20_7.5",-0.446953277734629,0.278800781649848,-0.0919446122727265,-0.740512820512821,"No"
"104","CANY20_8",-0.458228457018926,0.123431673752743,-0.148657898363636,-0.740512820512821,"No"
"105","CANY20_8.5",-0.436015562111301,0.413937564885171,0.124838387727273,-0.740512820512821,"No"
"106","CANY20_9",-0.453079174846287,0.11393999362991,0.0238195106363639,-0.740512820512821,"No"
"107","CANY20_9.5",-0.636672691054355,0.518218193080188,-0.131904612272727,-0.740512820512821,"No"
"108","CRES21_0.5",0.714985071584788,-0.705186937599347,-1.58144119555556,0.743333333333333,"No"
"109","CRES21_1",0.730925462503885,-0.753679933796083,-0.865373295555556,0.593333333333334,"No"
"110","CRES21_1.5",0.684896288360242,-0.829580758928289,-0.920909395555556,0.693333333333333,"No"
"111","CRES21_10",0.43328812665965,0.354403917671414,0.272146004444444,0.0933333333333337,"No"
"112","CRES21_10.5",1.21460380748527,0.701332540858715,0.653378064444444,0.0933333333333337,"No"
"113","CRES21_11",1.12784112048267,0.761750023006559,0.976229504444444,0.0933333333333337,"No"
"114","CRES21_11.5",1.12224746953171,0.836367853792915,0.765830124444444,0.0933333333333337,"No"
"115","CRES21_12",0.931737834211582,0.708503143114277,0.459901604444444,0.0933333333333337,"No"
"116","CRES21_12.5",0.788784113270129,0.616393191770277,0.327696144444444,0.0933333333333337,"No"
"117","CRES21_13",0.605839310175132,0.556676629019724,-0.000499095555555717,0.0933333333333337,"No"
"118","CRES21_13.5",0.648631554128057,0.517493557494043,0.0715608844444444,0.0933333333333337,"No"
"119","CRES21_14",0.487458481011909,0.611624042279529,0.237191504444444,0.0933333333333337,"No"
"120","CRES21_14.5",0.906704981355308,0.668754410072391,0.121251324444444,0.0933333333333337,"No"
"121","CRES21_15",0.580884794005411,0.516955752826988,0.0893839044444444,0.0933333333333337,"No"
"122","CRES21_15.5",0.589359522498756,0.586667274352154,-0.114029915555556,0.0933333333333337,"No"
"123","CRES21_16",0.466965271001624,0.463298689355261,-0.0364522955555557,0.0933333333333337,"No"
"124","CRES21_16.5",0.568514845081608,0.442011213066667,0.00780146444444441,0.0933333333333337,"No"
"125","CRES21_17",0.470773852421059,0.571084881848391,-0.0624184955555556,0.0933333333333337,"No"
"126","CRES21_17.5",0.429615680427804,0.550600677262242,-0.314288375555556,0.0933333333333337,"No"
"127","CRES21_18",0.426584080858883,0.418297250678703,-0.131328795555556,0.0933333333333337,"No"
"128","CRES21_18.5",0.42955826171347,0.147475177588917,-0.385531295555556,0.0933333333333337,"No"
"129","CRES21_19",0.464233585237565,0.356800007695746,-0.360031095555556,0.0933333333333337,"No"
"130","CRES21_19.5",0.50645221395551,0.0711858573218985,-0.485411075555556,0.0933333333333337,"No"
"131","CRES21_2",0.698036538791841,-0.789241851552929,-0.845399295555556,0.976666666666667,"No"
"132","CRES21_2.5",0.755156918971345,-0.82371175391782,-0.813845195555556,-0.206666666666667,"No"
"133","CRES21_20",0.546703427299436,0.726794720863402,-0.410964795555556,0.0933333333333337,"No"
"134","CRES21_20.5",0.448251975258459,0.0399660037367801,-0.445997975555556,0.0933333333333337,"No"
"135","CRES21_3",0.548518348272692,-0.590676440346575,-1.07909509555556,0.455833333333334,"No"
"136","CRES21_3.5",0.549230568880165,-0.643962643315111,-1.32915419555556,0.213333333333333,"No"
"137","CRES21_4",0.479945160985176,-0.578404498599035,-1.28682469555556,0.243333333333334,"No"
"138","CRES21_4.5",0.580413964242241,-0.599691733082323,-1.08400719555556,0.505833333333334,"No"
"139","CRES21_5",0.523860645707478,-0.530123926603274,-0.944270595555556,-0.433939393939394,"No"
"140","CRES21_5.5",0.210794372675435,0.986836291907509,-0.708782195555556,-0.535238095238095,"No"
"141","CRES21_6",0.517706937317423,-0.3904030450928,-0.517825695555556,0.373333333333334,"No"
"142","CRES21_6.5",0.279165164969645,0.865316818593465,-0.458171135555556,0.0558333333333336,"No"
"143","CRES21_7",0.342201621939136,0.541672778812803,-0.173274195555556,-0.0955555555555554,"No"
"144","CRES21_7.5",0.398973075532349,0.156709065869289,-0.123808355555556,0.501666666666667,"No"
"145","CRES21_8",0.374124289051402,0.608714295838869,0.0104866044444443,0.104444444444445,"No"
"146","CRES21_8.5",0.2327441669572,0.935830773777736,0.00031796444444443,0.014761904761905,"No"
"147","CRES21_9",0.297933627448531,0.626182466354829,0.0813943044444443,0.526666666666667,"No"
"148","CRES21_9.5",0.559063415990517,0.708501221141873,0.166950564444444,0.0933333333333337,"No"
"149","EYRI20_0.5",-0.929600403671671,-0.712407506457318,-2.86507599315909,0.59,"No"
"150","EYRI20_1",-0.711326087269207,-0.65487095441181,-1.86573071917424,0.795,"No"
"151","EYRI20_1.5",-0.772326804723175,-0.270898815715816,-2.36200704215909,0.42,"No"
"152","EYRI20_10",-1.18524004255406,0.587254832528433,-0.558018523174242,-0.98,"No"
"153","EYRI20_10.5",-0.92367510110588,0.337154568246055,-0.434401516159091,-0.98,"No"
"154","EYRI20_11",-0.861219462378734,0.492431155252661,-0.424898599174242,-0.8175,"No"
"155","EYRI20_11.5",-0.818192741715987,1.16641055289869,-0.184607048159091,-0.8175,"No"
"156","EYRI20_12",-0.767998102576392,1.00477750953721,-0.254687551174242,-0.8175,"No"
"157","EYRI20_12.5",-1.28409529439218,0.75169410516383,-0.400307456159091,-0.8175,"No"
