"","asv_code","domain","supergroup","division","subdivision","class","order","family","genus","species","trophic_mode"
"41","ZOTU-V7_10051","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Naviculales","Unassigned","Unassigned","Unassigned","phototrophs"
"42","ZOTU-V7_10053","Eukaryota","TSAR","Stramenopiles","Bigyra","Sagenista","Labyrinthulomycetes","Amphifilaceae","Unassigned","Unassigned","heterotrophs"
"43","ZOTU-V7_10054","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"44","ZOTU-V7_10055","Eukaryota","TSAR","Stramenopiles","Bigyra","Sagenista","Labyrinthulomycetes","Amphifilaceae","Fibrophrys","Fibrophrys_sp.","heterotrophs"
"45","ZOTU-V7_10059","Eukaryota","Obazoa","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Unassigned","Unassigned","Unassigned","heterotrophs"
"46","ZOTU-V7_1006","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Branchiopoda","Unassigned","Unassigned","heterotrophs"
"47","ZOTU-V7_10060","Eukaryota","Obazoa","Opisthokonta","Fungi","Opisthosporidia","Microsporida","Microsporida_X","Helmichia","Helmichia_lacustris","parasites"
"48","ZOTU-V7_10061","Eukaryota","Excavata","Discoba","Discoba_X","Heterolobosea","Heterolobosea_X","Creneidae","Creneis","Creneis_carolina","heterotrophs"
"49","ZOTU-V7_10062","Eukaryota","TSAR","Rhizaria","Cercozoa","Endomyxa-Phytomyxea","Plasmodiophorida","Polymyxa-lineage","Unassigned","Unassigned","parasites"
"50","ZOTU-V7_10063","Eukaryota","Obazoa","Opisthokonta","Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Unassigned","Unassigned","parasites"
"51","ZOTU-V7_10066","Eukaryota","TSAR","Stramenopiles","Bigyra","Bicoecea","Bicoecales","Bicoecaceae","Bicoecaceae_X","Bicoecaceae_X_sp.","heterotrophs"
"52","ZOTU-V7_10067","Eukaryota","Amoebozoa","Evosea","Evosea_X","Variosea","Variosea_X","Phalansteriidae","Phalansterium","Phalansterium_sp.","heterotrophs"
"53","ZOTU-V7_10068","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Unassigned","Unassigned","Unassigned","Unassigned","saprotrophs/parasites"
"54","ZOTU-V7_10069","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"55","ZOTU-V7_10070","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Sarcomonadea","Glissomonadida","Allapsidae","Allapsidae_X","Allapsidae_X_sp.","heterotrophs"
"56","ZOTU-V7_10073","Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Aphagea","Distigmidae","Distigma","Distigma_elegans","heterotrophs"
"57","ZOTU-V7_10074","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"58","ZOTU-V7_10075","Eukaryota","TSAR","Stramenopiles","Bigyra","Opalozoa","Opalozoa_X","MAST-12","MAST-12C","MAST-12C_sp.","heterotrophs"
"59","ZOTU-V7_10077","Eukaryota","Obazoa","Opisthokonta","Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Rozellomycota_XXX","Rozellomycota_XXX_sp.","parasites"
"60","ZOTU-V7_10079","Eukaryota","Amoebozoa","Discosea","Discosea_X","Centramoebia","Himatismenida","Cochliopodiidae","Cochliopodium","Cochliopodium_plurinucleolum","heterotrophs"
"61","ZOTU-V7_1008","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Sarcomonadea","Glissomonadida","Sandonidae","Sandonidae_X","Sandonidae_X_sp.","heterotrophs"
"62","ZOTU-V7_10081","Eukaryota","TSAR","Rhizaria","Cercozoa","Endomyxa","Vampyrellida","Penardia-lineage","Penardia-lineage_X","Penardia-lineage_X_sp.","heterotrophs"
"63","ZOTU-V7_10082","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Chlorophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"64","ZOTU-V7_10083","Eukaryota","Obazoa","Opisthokonta","Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Rozellomycota_XXX","Rozellomycota_XXX_sp.","parasites"
"65","ZOTU-V7_10085","Eukaryota","TSAR","Stramenopiles","Bigyra","Sagenista","Labyrinthulomycetes","Amphifilaceae","Amphifilaceae_X","Amphifilaceae_X_sp.","heterotrophs"
"66","ZOTU-V7_10087","Eukaryota","TSAR","Alveolata","Ciliophora","Litostomatea","Litostomatea_X","Litostomatea_XX","Unassigned","Unassigned","heterotrophs"
"67","ZOTU-V7_10088","Eukaryota","TSAR","Alveolata","Perkinsea","Perkinsida","Perkinsida_X","Perkinsida_XX","Perkinsida_XXX","Perkinsida_XXX_sp.","parasites"
"68","ZOTU-V7_10089","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Unassigned","Unassigned","Unassigned","Unassigned",NA
"69","ZOTU-V7_1009","Eukaryota","TSAR","Alveolata","Ciliophora","CONTH_7","CONTH_7_X","CONTH_7_XX","CONTH_7_XXX","CONTH_7_XXX_sp.","heterotrophs"
"70","ZOTU-V7_10090","Eukaryota","TSAR","Stramenopiles","Gyrista","Peronosporomycetes","Peronosporomycetes_X","Peronosporales","Unassigned","Unassigned","parasites"
"71","ZOTU-V7_10091","Eukaryota","TSAR","Rhizaria","Cercozoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",NA
"72","ZOTU-V7_10093","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Chlorophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"73","ZOTU-V7_10098","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Chytridiomycota_X","Chytridiomycota_XX","Chytridiomycota_XXX","Chytridiomycota_XXX_sp.","saprotrophs/parasites"
"74","ZOTU-V7_10099","Eukaryota","Obazoa","Opisthokonta","Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Unassigned","Unassigned","parasites"
"75","ZOTU-V7_101","Eukaryota","TSAR","Alveolata","Chrompodellids","Colpodellidea","Colpodellida","Alphamonaceae","Alphamonas","Alphamonas_edax","heterotrophs"
"76","ZOTU-V7_10102","Eukaryota","TSAR","Alveolata","Perkinsea","Perkinsida","Perkinsida_X","Perkinsida_XX","Perkinsida_XXX","Perkinsida_XXX_sp.","parasites"
"77","ZOTU-V7_10103","Eukaryota","Obazoa","Opisthokonta","Metazoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"78","ZOTU-V7_10105","Eukaryota","TSAR","Rhizaria","Cercozoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",NA
"79","ZOTU-V7_10106","Eukaryota","Obazoa","Opisthokonta","Fungi","Opisthosporidia","Microsporida","Microsporida_X","Unassigned","Unassigned","parasites"
"80","ZOTU-V7_1011","Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Unassigned","Unassigned","heterotrophs"
"81","ZOTU-V7_10110","Eukaryota","Haptista","Centroplasthelida","Centroplasthelida_X","Centroplasthelida_XX","Centroplasthelida_XXX","Centroplasthelida_XXXX","Centroplasthelida_XXXXX","Centroplasthelida_XXXXX_sp.","heterotrophs"
"82","ZOTU-V7_10111","Eukaryota","Obazoa","Opisthokonta","Metazoa","Rotifera","Rotifera_X","Rotifera_XX","Unassigned","Unassigned","heterotrophs"
"83","ZOTU-V7_10118","Eukaryota","TSAR","Stramenopiles","Bigyra","Bicoecea","Pseudodendromonadales","Pseudodendromonadales_X","Unassigned","Unassigned","heterotrophs"
"84","ZOTU-V7_10119","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"85","ZOTU-V7_10122","Eukaryota","Obazoa","Opisthokonta","Metazoa","Nematoda","Chromadorea","Chromadorea_X","Unassigned","Unassigned","heterotrophs"
"86","ZOTU-V7_10125","Eukaryota","Amoebozoa","Evosea","Evosea_X","Variosea","Variosea_X","Unassigned","Unassigned","Unassigned","heterotrophs"
"87","ZOTU-V7_10126","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Sarcomonadea","Glissomonadida","Glissomonadida_X","Glissomonadida_XX","Glissomonadida_XX_sp.","heterotrophs"
"88","ZOTU-V7_10127","Eukaryota","TSAR","Rhizaria","Cercozoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",NA
"89","ZOTU-V7_10128","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Unassigned","Unassigned","Unassigned","Unassigned","saprotrophs/parasites"
"90","ZOTU-V7_1013","Eukaryota","TSAR","Alveolata","Perkinsea","Perkinsida","Perkinsida_X","Perkinsida_XX","Perkinsida_XXX","Perkinsida_XXX_sp.","parasites"
"91","ZOTU-V7_10130","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Branchiopoda","Unassigned","Unassigned","heterotrophs"
"92","ZOTU-V7_10131","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Sarcomonadea","Cercomonadida","Unassigned","Unassigned","Unassigned","heterotrophs"
"93","ZOTU-V7_10132","Eukaryota","TSAR","Stramenopiles","Gyrista","Eustigmatophyceae","Eustigmatophyceae_X","Eustigmatophyceae_XX","Nannochloropsis","Nannochloropsis_oculata","phototrophs"
"94","ZOTU-V7_10133","Eukaryota","TSAR","Rhizaria","Cercozoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",NA
"95","ZOTU-V7_10134","Eukaryota","Obazoa","Opisthokonta","Metazoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"96","ZOTU-V7_10136","Eukaryota","Obazoa","Opisthokonta","Fungi","Opisthosporidia","Microsporida","Microsporida_X","Unassigned","Unassigned","parasites"
"97","ZOTU-V7_10138","Eukaryota","Archaeplastida","Streptophyta","Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Embryophyceae_XXX","Embryophyceae_XXX_sp.","phototrophs"
"98","ZOTU-V7_1014","Eukaryota","Obazoa","Opisthokonta","Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Rozellomycota_XXX","Rozellomycota_XXX_sp.","parasites"
"99","ZOTU-V7_10142","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"100","ZOTU-V7_10144","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"101","ZOTU-V7_10145","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"102","ZOTU-V7_10146","Eukaryota","Obazoa","Opisthokonta","Fungi","Opisthosporidia","Microsporida","Microsporida_X","Orthosomella","Orthosomella_operophterae","parasites"
"103","ZOTU-V7_1015","Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Unassigned","Unassigned","heterotrophs"
"104","ZOTU-V7_10150","Eukaryota","Obazoa","Opisthokonta","Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Rozellomycota_XXX","Rozellomycota_XXX_sp.","parasites"
"105","ZOTU-V7_10151","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Unassigned","Unassigned","Unassigned","Unassigned","saprotrophs/parasites"
"106","ZOTU-V7_10153","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Thecofilosea","Unassigned","Unassigned","Unassigned","Unassigned",NA
"107","ZOTU-V7_10154","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"108","ZOTU-V7_10155","Eukaryota","Excavata","Discoba","Euglenozoa","Kinetoplastea","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"109","ZOTU-V7_10156","Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Petalomonadida","Unassigned","Unassigned","Unassigned",NA
"110","ZOTU-V7_10159","Eukaryota","TSAR","Rhizaria","Cercozoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",NA
"111","ZOTU-V7_10164","Eukaryota","Obazoa","Opisthokonta","Metazoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"112","ZOTU-V7_10165","Eukaryota","Obazoa","Opisthokonta","Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Unassigned","Unassigned","parasites"
"113","ZOTU-V7_10167","Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Chrysophyceae_Cluster-II","Chrysophyceae_Cluster-II_X","Chrysophyceae_Cluster-II_XX","Chrysophyceae_Cluster-II_XX_sp.","phototrophs"
"114","ZOTU-V7_10168","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"115","ZOTU-V7_1017","Eukaryota","Obazoa","Opisthokonta","Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Rozellomycota_XXX","Rozellomycota_XXX_sp.","parasites"
"116","ZOTU-V7_10171","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Sarcomonadea","Glissomonadida","Sandonidae","Sandonidae_X","Sandonidae_X_sp.","heterotrophs"
"117","ZOTU-V7_10174","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"118","ZOTU-V7_10176","Eukaryota","Obazoa","Opisthokonta","Fungi","Fungi_X","Fungi_XX","Fungi_XXX","Fungi_XXXX","Fungi_XXXX_sp.","heterotrophs"
"119","ZOTU-V7_10177","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_XX","Dinophyceae_XXX","Dinophyceae_XXX_sp.",NA
"120","ZOTU-V7_1018","Eukaryota","Obazoa","Opisthokonta","Fungi","Ascomycota","Saccharomycotina","Saccharomycetales","Unassigned","Unassigned","heterotrophs"
"121","ZOTU-V7_10181","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Unassigned","Unassigned","Unassigned","Unassigned",NA
"122","ZOTU-V7_10183","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Hexapoda","Insecta","Chironomus","Unassigned","heterotrophs"
"123","ZOTU-V7_10184","Eukaryota","TSAR","Stramenopiles","Gyrista","Peronosporomycetes","Peronosporomycetes_X","Peronosporales","Unassigned","Unassigned","parasites"
"124","ZOTU-V7_10185","Eukaryota","Obazoa","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Unassigned","Unassigned","Unassigned","heterotrophs"
"125","ZOTU-V7_10186","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Unassigned","Unassigned","phototrophs"
"126","ZOTU-V7_10187","Eukaryota","TSAR","Rhizaria","Cercozoa","Cercozoa_X","Cercozoa_XX","Cercozoa_XXX","Cercozoa_XXXX","Cercozoa_XXXX_sp.",NA
"127","ZOTU-V7_10190","Eukaryota","Obazoa","Opisthokonta","Metazoa","Nematoda","Chromadorea","Chromadorea_X","Eumonhystera","Eumonhystera_filiformis","heterotrophs"
"128","ZOTU-V7_10191","Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"129","ZOTU-V7_10193","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"130","ZOTU-V7_10194","Eukaryota","Obazoa","Opisthokonta","Metazoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"131","ZOTU-V7_102","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Trebouxiophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"132","ZOTU-V7_1020","Eukaryota","TSAR","Stramenopiles","Gyrista","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",NA
"133","ZOTU-V7_10200","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Unassigned","Unassigned","Unassigned","Unassigned",NA
"134","ZOTU-V7_10201","Eukaryota","Obazoa","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Unassigned","Unassigned","Unassigned","heterotrophs"
"135","ZOTU-V7_10204","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Trebouxiophyceae","Chlorellales","Chlorellales_X","Unassigned","Unassigned","phototrophs"
"136","ZOTU-V7_10205","Eukaryota","TSAR","Alveolata","Ciliophora","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"137","ZOTU-V7_10208","Eukaryota","TSAR","Alveolata","Apicomplexa","Gregarinomorphea","Neogregarinorida","Actinocephalidae","Monocystis","Monocystis_agilis","parasites"
"138","ZOTU-V7_1021","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Unassigned","Unassigned","Unassigned","Unassigned","saprotrophs/parasites"
"139","ZOTU-V7_10213","Eukaryota","Obazoa","Opisthokonta","Metazoa","Craniata","Craniata_X","Mammalia","Homo","Homo_sapiens","heterotrophs"
"140","ZOTU-V7_10217","Eukaryota","Excavata","Discoba","Discoba_X","Heterolobosea","Tetramitia_I","Tetramitia_I_X","Unassigned","Unassigned","heterotrophs"
"141","ZOTU-V7_10218","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"142","ZOTU-V7_10219","Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Unassigned","Unassigned","heterotrophs"
"143","ZOTU-V7_1022","Eukaryota","TSAR","Alveolata","Ciliophora","Oligohymenophorea","Peritrichia_2","Sessilida","Unassigned","Unassigned","heterotrophs"
"144","ZOTU-V7_10220","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Sarcomonadea","Glissomonadida","Sandonidae","Unassigned","Unassigned","heterotrophs"
"145","ZOTU-V7_10226","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_XX","Dinophyceae_XXX","Dinophyceae_XXX_sp.",NA
"146","ZOTU-V7_10227","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"147","ZOTU-V7_10228","Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Craterellus","Craterellus_tubaeformis","symbiotrophs"
"148","ZOTU-V7_1023","Eukaryota","TSAR","Rhizaria","Cercozoa","Endomyxa-Phytomyxea","Plasmodiophorida","Unassigned","Unassigned","Unassigned","parasites"
"149","ZOTU-V7_10231","Eukaryota","TSAR","Stramenopiles","Gyrista","Peronosporomycetes","Peronosporomycetes_X","Peronosporales","Pythium","Unassigned","parasites"
"150","ZOTU-V7_10234","Eukaryota","TSAR","Alveolata","Ciliophora","Colpodea","Colpodea_X","Platyophryida","Unassigned","Unassigned","heterotrophs"
"151","ZOTU-V7_10235","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Thecofilosea","Cryomonadida","Cryomonadida_X","Cryomonadida_XX","Cryomonadida_XX_sp.",NA
"152","ZOTU-V7_10238","Eukaryota","TSAR","Stramenopiles","Bigyra","Sagenista","Labyrinthulomycetes","Amphifilaceae","Fibrophrys","Fibrophrys_sp.","heterotrophs"
"153","ZOTU-V7_10239","Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Paraphysomonadales","Paraphysomonadaceae","Paraphysomonas","Paraphysomonas_sp.","heterotrophs"
"154","ZOTU-V7_1024","Eukaryota","Obazoa","Opisthokonta","Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Rozellomycota_XXX","Rozellomycota_XXX_sp.","parasites"
"155","ZOTU-V7_10240","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Chlorophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
