"","asv_code","domain","supergroup","division","subdivision","class","order","family","genus","species","trophic_mode"
"4893","ZOTU-V9_32210","Eukaryota","Obazoa","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Dothideomycetes","Leptosphaeria","Leptosphaeria_maculans","pathotrophs"
"4894","ZOTU-V9_32217","Eukaryota","Obazoa","Opisthokonta","Ichthyosporea","Dermocystida","Rhynosporidae","Rhynosporidae_X","Unassigned","Unassigned","heterotrophs"
"4895","ZOTU-V9_32218","Eukaryota","TSAR","Stramenopiles","Gyrista","Peronosporomycetes","Peronosporomycetes_X","Unassigned","Unassigned","Unassigned","parasites"
"4896","ZOTU-V9_32219","Eukaryota","TSAR","Stramenopiles","Gyrista","Peronosporomycetes","Peronosporomycetes_X","Saprolegniales","Aphanomyces","Unassigned","parasites"
"4897","ZOTU-V9_32237","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4898","ZOTU-V9_32240","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlamydomonas","Unassigned","phototrophs"
"4899","ZOTU-V9_32243","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4900","ZOTU-V9_32245","Eukaryota","Obazoa","Opisthokonta","Fungi","Mucoromycota","Glomeromycotina","Diversisporales","Acaulospora","Acaulospora_cavernata","symbiotrophs"
"4901","ZOTU-V9_32248","Eukaryota","TSAR","Rhizaria","Cercozoa","Endomyxa-Phytomyxea","Plasmodiophorida","Plasmodiophorida_X","Spongospora","Spongospora_nasturtii","parasites"
"4902","ZOTU-V9_3225","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4903","ZOTU-V9_32257","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","Peridinium_willei","phototrophs"
"4904","ZOTU-V9_32264","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4905","ZOTU-V9_32267","Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Unassigned","Unassigned","heterotrophs"
"4906","ZOTU-V9_32270","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Hypotrichia","Unassigned","Unassigned","Unassigned","heterotrophs"
