"","sample_id","MDS1","MDS2","d15N_anomaly_mean_1800_1850","mean_air_temp_degC_anomaly_combined","fish_present_binary_YN"
"142","CRES21_6.5",0.394529620650105,0.790838717627732,-0.458171135555556,0.0558333333333336,"No"
"143","CRES21_7",-0.174619151617658,0.485095609465782,-0.173274195555556,-0.0955555555555554,"No"
"144","CRES21_7.5",-0.234494411579221,0.378350966231189,-0.123808355555556,0.501666666666667,"No"
"145","CRES21_8",-0.0842707738502723,0.525201638760532,0.0104866044444443,0.104444444444445,"No"
"146","CRES21_8.5",0.253884438640701,0.954852564258723,0.00031796444444443,0.014761904761905,"No"
"147","CRES21_9",-0.0784243170937453,0.527699615807887,0.0813943044444443,0.526666666666667,"No"
"148","CRES21_9.5",-0.301124605719105,0.550716927906842,0.166950564444444,0.0933333333333337,"No"
"149","EYRI20_0.5",-0.145592289140371,-0.814140647354654,-2.86507599315909,0.59,"No"
"150","EYRI20_1",0.153634762599867,-0.654443514530225,-1.86573071917424,0.795,"No"
"151","EYRI20_1.5",0.3245010792939,-0.320858903191607,-2.36200704215909,0.42,"No"
"152","EYRI20_10",0.566337815615244,0.463732679491332,-0.558018523174242,-0.98,"No"
"153","EYRI20_10.5",0.302853927583817,0.384450532198945,-0.434401516159091,-0.98,"No"
"154","EYRI20_11",0.509279723422279,0.40195234934482,-0.424898599174242,-0.8175,"No"
"155","EYRI20_11.5",0.449794441164832,0.536437737621973,-0.184607048159091,-0.8175,"No"
"156","EYRI20_12",0.691435116842666,0.29609149976359,-0.254687551174242,-0.8175,"No"
"157","EYRI20_12.5",0.658036774100838,0.244666964911664,-0.400307456159091,-0.8175,"No"
"158","EYRI20_13",0.550338301477048,0.359137526682654,-0.454227395174242,-0.8175,"No"
"159","EYRI20_13.5",0.634000279779835,0.330319748339767,-0.469584972159091,-0.8175,"No"
"160","EYRI20_14",0.685499550013602,0.45967658334052,-0.329509991174242,-0.8175,"No"
"161","EYRI20_14.5",0.560784073948946,0.308584437273811,0.144108107840909,-0.8175,"No"
"162","EYRI20_15",0.59773864813723,0.490019778492071,-0.355797875174242,-0.8175,"No"
"163","EYRI20_15.5",0.764746694591591,0.283253743718295,0.100612963840909,-0.8175,"No"
"164","EYRI20_16",0.794954122178456,0.410498125636985,-0.155897923174242,-0.8175,"No"
"165","EYRI20_16.5",0.698339928706861,0.55809083477427,0.329204557840909,-0.8175,"No"
"166","EYRI20_17",0.930989186538283,0.282520037526144,-0.0622298311742422,-0.8175,"No"
"167","EYRI20_17.5",0.571277620261065,0.354144894070049,0.0657290338409089,-0.8175,"No"
"168","EYRI20_18",0.629292633476754,0.456654360424612,-0.104242431174242,-0.8175,"No"
"169","EYRI20_18.5",0.54873144859189,0.413328396758155,-0.218772106159091,-0.8175,"No"
"170","EYRI20_19",0.575280885894901,0.324334758890366,-0.206593127174242,-0.8175,"No"
"171","EYRI20_19.5",0.564523778660972,0.510649489446225,0.0446585738409091,-0.8175,"No"
"172","EYRI20_2",0.280631461617477,-0.328900431017872,-2.45890861917424,0.353333333333333,"No"
"173","EYRI20_2.5",0.240408197793987,-0.269085330197179,-2.38663949615909,0.25,"No"
"174","EYRI20_20",0.780468673451615,0.470323426996841,-0.310184195174242,-0.8175,"No"
"175","EYRI20_20.5",0.383638318182527,0.280348756022893,-0.388134666159091,-0.8175,"No"
"176","EYRI20_21",0.714357896129144,0.43930699962566,-0.506042935174242,-0.8175,"No"
"177","EYRI20_21.5",0.378996784080627,0.461247022250057,-0.352684366159091,-0.8175,"No"
"178","EYRI20_3",0.261224189943674,-0.152029032769574,-1.96460037117424,-0.18,"No"
"179","EYRI20_3.5",0.264499322174647,-0.217537349363374,-1.80256184815909,-0.813333333333333,"No"
"180","EYRI20_4",0.382890999596782,-0.167313842814143,-1.61917677517424,-0.301428571428571,"No"
"181","EYRI20_4.5",0.321347752775965,-0.192321249168537,-1.79207136815909,-0.43,"No"
"182","EYRI20_5",0.278617613352761,-0.188033120945628,-1.51054419517424,-0.23,"No"
"183","EYRI20_5.5",0.394022011385086,-0.10377562763525,-1.43803784215909,-0.4175,"No"
"184","EYRI20_6",0.372693491278364,-0.157754720512905,-1.18636697117424,-0.0442857142857142,"No"
"185","EYRI20_6.5",0.344471397123111,-0.105201628072835,-1.09263878815909,0.4575,"No"
"186","EYRI20_7",0.490840739379306,0.127272207927932,-0.736552067174242,0.69,"No"
"187","EYRI20_7.5",0.506425596662235,0.0982742987507612,-0.465086170159091,-0.63,"No"
"188","EYRI20_8",0.528990554926598,0.268503656479446,-0.633081035174242,-0.87,"No"
"189","EYRI20_8.5",0.486812604211676,0.370821754442813,-0.504415383159091,-0.196666666666667,"No"
"190","EYRI20_9",0.651363522048473,0.368796140648902,-0.651806651174242,-0.3675,"No"
"191","EYRI20_9.5",0.642299224740038,0.305243904544923,-0.654913423159091,-0.9175,"No"
"192","FOOT20_0.5",-0.187634189231301,-0.999333391504874,-2.63718610499144,0.47,"Yes"
"193","FOOT20_1",-0.170880357572173,-0.822402081021114,-2.28225150899144,0.303333333333333,"Yes"
"194","FOOT20_1.5",-0.0101287554498001,-0.668271698069579,-2.95468961201713,0.87,"Yes"
"195","FOOT20_10",0.189435342365521,0.107375775509531,0.0865719050085638,-1.01125,"No"
"196","FOOT20_10.5",0.309474897715678,0.115918804375086,-0.0262393840171278,-1.01125,"No"
"197","FOOT20_11",0.189217249579568,0.167109482810804,0.183758770008564,-1.01125,"No"
"198","FOOT20_11.5",0.506301790989438,0.190734560243905,-0.0256402240171276,-1.01125,"No"
"199","FOOT20_12",0.400147088777768,0.170634085195029,0.182477020008564,-1.01125,"No"
"200","FOOT20_12.5",0.42572345522487,0.152727386661457,-0.0481087240171276,-1.01125,"No"
"201","FOOT20_13",0.22666368186269,0.21431079670528,0.129986634008564,-1.01125,"No"
"202","FOOT20_14",0.30331524695082,0.229517329429329,0.0927745520085641,-1.01125,"No"
"203","FOOT20_14.5",0.346302573260347,0.210111062605677,0.00213507598287244,-1.01125,"No"
"204","FOOT20_15",0.442691972235604,0.363221537053265,-0.0721997849914358,-1.01125,"No"
